operation_type,log_size,dtype,cpu_runtime_ms,gpu_runtime_ms,transfer_time_ms,winner,cpu_load_pct,is_battery_powered,power_mode,gpu_load_pct,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_pressure,gpu_temp_C,thermal_headroom,concurrent_gpu_tasks,device_name,is_edge,source_file,data_transfer_cost_ms,gpu_mem_free_mb
conv2d,8.48,float16,1277.3567,6.039,0.9984,1,34.0,1.0,0.0,0,356.0,4096.0,0.087,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.9237,float16,3453.806,8.4604,1.2289,1,29.6,1.0,0.0,0,356.0,4096.0,0.087,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.6738,float16,1893.4633,8.8634,2.1568,1,19.1,1.0,0.0,0,356.0,4096.0,0.087,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.1175,float16,5251.4944,10.7952,1.8447,1,16.6,1.0,0.0,0,356.0,4096.0,0.087,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.8322,float16,2765.0745,12.7075,2.681,1,18.7,1.0,0.0,0,356.0,4096.0,0.087,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.2759,float16,7715.9761,13.8658,2.3648,1,17.6,1.0,0.0,0,356.0,4096.0,0.087,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,8.9661,float16,3832.6213,11.8149,3.3236,1,21.1,1.0,0.0,0,545.0,4096.0,0.1332,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.4098,float16,10516.0748,13.2455,2.8879,1,19.0,1.0,0.0,0,545.0,4096.0,0.1332,51,34.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.5681,float16,14940.1231,21.1943,5.0023,1,15.9,1.0,0.0,0,545.0,4096.0,0.1332,51,34.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,10.0118,float16,44051.5963,28.4576,5.6267,1,16.8,1.0,0.0,0,545.0,4096.0,0.1332,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.0821,float16,5087.0737,13.5948,4.8244,1,17.5,1.0,0.0,0,545.0,4096.0,0.1332,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.5258,float16,13424.1516,15.0388,3.5438,1,15.7,1.0,0.0,0,545.0,4096.0,0.1332,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.6841,float16,19598.6883,26.0412,6.3091,1,17.0,1.0,0.0,0,545.0,4096.0,0.1332,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,10.1278,float16,63719.3032,35.7019,6.374,1,24.7,1.0,0.0,0,543.0,4096.0,0.1328,56,29.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.2759,float16,7888.009,18.7518,5.3582,1,18.1,1.0,0.0,0,543.0,4096.0,0.1328,56,29.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.7196,float16,22569.0676,22.4071,5.0059,1,16.3,1.0,0.0,0,543.0,4096.0,0.1328,55,30.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,9.8779,float16,30740.6143,36.5162,9.1988,1,17.7,1.0,0.0,0,543.0,4096.0,0.1328,53,32.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
conv2d,10.3216,float16,92377.5306,52.0884,9.5253,1,16.7,1.0,0.0,0,536.0,4096.0,0.1309,51,34.0,4.0,NVIDIA GeForce RTX 2050,0,conv2d.parquet,,
elementwise,1.8129,float32,0.2231,95.9617,0.0,0,15.4,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0,
elementwise,2.1106,float32,0.0345,0.1655,0.0001,0,40.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0001,
elementwise,2.4099,float32,0.0248,0.143,0.0002,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0002,
elementwise,2.5855,float32,0.0345,0.128,0.0003,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0003,
elementwise,2.7101,float32,0.0367,0.1267,0.0003,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0003,
elementwise,2.8069,float32,0.0211,0.2337,0.0004,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0004,
elementwise,2.8859,float32,0.0306,0.2627,0.0005,0,25.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0005,
elementwise,2.9528,float32,0.0276,0.191,0.0006,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0006,
elementwise,3.0107,float32,0.0289,0.1413,0.0007,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0007,
elementwise,3.0618,float32,0.0272,0.138,0.0008,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0008,
elementwise,3.1075,float32,0.0202,0.1388,0.0009,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0009,
elementwise,3.1489,float32,0.0312,0.1381,0.0009,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0009,
elementwise,3.1867,float32,0.0198,0.1316,0.001,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.001,
elementwise,3.2214,float32,0.0319,0.1314,0.0011,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0011,
elementwise,3.2536,float32,0.0276,0.1452,0.0012,0,50.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0012,
elementwise,3.2835,float32,0.0345,0.1413,0.0013,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0013,
elementwise,3.3115,float32,0.0216,0.1443,0.0014,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0014,
elementwise,3.3627,float32,0.0376,0.1388,0.0015,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0015,
elementwise,3.4084,float32,0.0209,0.152,0.0017,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0017,
elementwise,3.4498,float32,0.041,0.3914,0.0019,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0019,
elementwise,3.4876,float32,0.0225,0.2326,0.002,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.002,
elementwise,3.5223,float32,0.0441,0.1116,0.0022,0,50.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0022,
elementwise,3.5545,float32,0.0255,0.1403,0.0024,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0024,
elementwise,3.5844,float32,0.0456,0.1188,0.0026,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0026,
elementwise,3.6125,float32,0.0225,0.1316,0.0027,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0027,
elementwise,3.6636,float32,0.046,0.12,0.0031,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0031,
elementwise,3.7094,float32,0.028,0.225,0.0034,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0034,
elementwise,3.7507,float32,0.0637,0.214,0.0038,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0038,
elementwise,3.7885,float32,0.0358,0.1224,0.0041,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0041,
elementwise,3.8233,float32,0.0606,0.1743,0.0044,0,16.7,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0044,
elementwise,3.8555,float32,0.0309,0.1369,0.0048,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0048,
elementwise,3.8854,float32,0.0538,0.2112,0.0051,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0051,
elementwise,3.9134,float32,0.0313,0.1626,0.0055,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0055,
elementwise,3.9646,float32,0.0814,0.2635,0.0061,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0061,
elementwise,4.0103,float32,0.0458,0.1449,0.0068,0,100.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0068,
elementwise,4.0517,float32,0.0551,0.1331,0.0075,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0075,
elementwise,4.0895,float32,0.0418,0.1226,0.0082,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0082,
elementwise,4.1243,float32,0.075,0.1399,0.0089,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0089,
elementwise,4.1565,float32,0.0366,0.1338,0.0096,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0096,
elementwise,4.1864,float32,0.1001,0.1326,0.0102,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0102,
elementwise,4.2144,float32,0.1298,0.1413,0.0109,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0109,
elementwise,4.2656,float32,0.1144,0.2624,0.0123,0,16.7,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0123,
elementwise,4.3114,float32,0.0459,0.2576,0.0137,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0137,
elementwise,4.5155,float32,0.1187,0.2642,0.0218,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0218,
elementwise,4.8165,float32,4.5359,0.3278,0.0437,1,14.3,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0437,
elementwise,1.8129,float16,0.0335,0.3298,0.0,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0,
elementwise,2.1106,float16,0.0286,0.1435,0.0,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0,
elementwise,2.4099,float16,0.0261,0.1489,0.0001,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0001,
elementwise,2.5855,float16,0.0382,0.3097,0.0001,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0001,
elementwise,2.7101,float16,0.0267,0.2064,0.0002,0,60.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0002,
elementwise,2.8069,float16,0.0323,0.1702,0.0002,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0002,
elementwise,2.8859,float16,0.0308,0.2069,0.0003,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0003,
elementwise,2.9528,float16,0.0421,0.192,0.0003,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0003,
elementwise,3.0107,float16,0.0286,0.189,0.0003,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0003,
elementwise,3.0618,float16,0.0229,0.253,0.0004,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0004,
elementwise,3.1075,float16,0.0319,0.1159,0.0004,0,54.5,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0004,
elementwise,3.1489,float16,0.0324,0.1211,0.0005,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0005,
elementwise,3.1867,float16,0.0236,0.108,0.0005,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0005,
elementwise,3.2214,float16,0.0347,0.1218,0.0006,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0006,
elementwise,3.2536,float16,0.0271,0.1658,0.0006,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0006,
elementwise,3.2835,float16,0.0558,0.1923,0.0006,0,100.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0006,
elementwise,3.3115,float16,0.0236,0.1284,0.0007,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0007,
elementwise,3.3627,float16,0.0236,0.1742,0.0008,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0008,
elementwise,3.4084,float16,0.0216,0.2135,0.0009,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0009,
elementwise,3.4498,float16,0.0235,0.1455,0.0009,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0009,
elementwise,3.4876,float16,0.0211,0.1531,0.001,0,0.0,1.0,0.0,6,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.001,
elementwise,3.5223,float16,0.0231,0.1239,0.0011,0,60.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0011,
elementwise,3.5545,float16,0.0225,0.1307,0.0012,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0012,
elementwise,3.5844,float16,0.0305,0.1255,0.0013,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0013,
elementwise,3.6125,float16,0.0226,0.1367,0.0014,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0014,
elementwise,3.6636,float16,0.0351,0.1276,0.0015,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0015,
elementwise,3.7094,float16,0.0312,0.1561,0.0017,0,58.3,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0017,
elementwise,3.7507,float16,0.0358,0.131,0.0019,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0019,
elementwise,3.7885,float16,0.027,0.1687,0.002,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.002,
elementwise,3.8233,float16,0.0868,0.1982,0.0022,0,69.2,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0022,
elementwise,3.8555,float16,0.0314,0.2681,0.0024,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0024,
elementwise,3.8854,float16,0.0458,0.2426,0.0026,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0026,
elementwise,3.9134,float16,0.059,0.154,0.0027,0,83.3,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0027,
elementwise,3.9646,float16,0.0338,0.1312,0.0031,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0031,
elementwise,4.0103,float16,0.0484,0.183,0.0034,0,75.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0034,
elementwise,4.0517,float16,0.0528,0.2837,0.0038,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0038,
elementwise,4.0895,float16,0.0325,0.124,0.0041,0,63.6,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0041,
elementwise,4.1243,float16,0.0666,0.1327,0.0044,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0044,
elementwise,4.1565,float16,0.0467,0.1544,0.0048,0,100.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0048,
elementwise,4.1864,float16,0.0364,0.1207,0.0051,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0051,
elementwise,4.2144,float16,0.0672,0.1909,0.0055,0,100.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0055,
elementwise,4.2656,float16,0.0749,0.2566,0.0061,0,0.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0061,
elementwise,4.3114,float16,0.0393,0.1658,0.0068,0,50.0,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0068,
elementwise,4.5155,float16,0.0529,0.1199,0.0109,0,8.3,1.0,0.0,4,274.0,4096.0,0.0671,52,33.0,4.0,NVIDIA GeForce RTX 2050,0,elementwise.parquet,0.0109,
